category,link,gender
Dresses,https://meesho.com/dresses-women/pl/gvn1o?page=,Women
Tops,https://meesho.com/tops-ladies/pl/nk8v6?page=,Women
Sweaters,https://meesho.com/sweaters-women/pl/9cudf?page=,Women
Jumpsuits,https://meesho.com/jumpsuits-women/pl/yzfmv?page=,Women
Jeans,https://meesho.com/jeans-women/pl/odur2?page=,Women
jeggings,https://meesho.com/jeggings/pl/hxn7z?page=,Women
palazzo-pants,https://meesho.com/palazzo-pants/pl/g7w52?page=,Women
Shorts,https://meesho.com/shorts-women/pl/so93g?page=,Women
Skirts,https://meesho.com/skirts-ladies/pl/78un4?page=,Women
Bras,https://meesho.com/ladies-bra/pl/mgqo1?page=,Women
Briefs-women,https://meesho.com/briefs-women/pl/r62y9?page=,Women
Night-Dresses,https://meesho.com/nightdresses-women/pl/9ytk6?page=,Women
Baby-Doll,https://meesho.com/babydoll-dress/pl/p6frw?page=,Women
jewellery-sets-women,https://meesho.com/jewellery-sets-women/pl/lkioo?page=,Women
mangalsutras,https://meesho.com/mangalsutras/pl/z3ts4?page=,Women
earrings-women,https://meesho.com/earrings-women/pl/6a15h?page=,Women
stud-earring,https://meesho.com/stud-earrings-women/pl/eq60b?page=,Women
bangles,https://meesho.com/bangles-women/pl/iuz00?page=,Women
necklaces,https://meesho.com/necklaces/pl/2zphn?page=,Women
rings,https://meesho.com/rings-women/pl/ls467?page=,Women
anklets,https://meesho.com/anklets-payal/pl/azafo?page=,Women
bags-ladies,https://meesho.com/bags-ladies/pl/p7vbp?page=,Women
women-watches,https://meesho.com/women-watches/pl/ok5et?page=,Women
hair-accessories-women,https://meesho.com/hair-accessories-women/pl/0buu2?page=,Women
sunglasses-women,https://meesho.com/sunglasses-women/pl/kn07d?page=,women
socks,https://meesho.com/socks-women/pl/4kpzc?page=,Women
flats-women,https://meesho.com/flats-women/pl/1nopj?page=,Women
bellies-women,https://meesho.com/bellies/pl/4q1ca?page=,Women
jutti-women,https://meesho.com/jutti/pl/qo274?page=,Women
tshirts-men,https://meesho.com/tshirts-men/pl/t3brl?page=,Men
shirts-men,https://meesho.com/shirts-men/pl/5ue9s?page=,Men
track-pants-men,https://meesho.com/track-pants-men/pl/k7nrc?page=,Men
jeans-men,https://meesho.com/jeans-men/pl/k7hey?page=,Men
trousers-men,https://meesho.com/trousers-men/pl/0l3h0?page=,Men
accessories-men,https://meesho.com/accessories-men/pl/3z79k?page=,Men
sports-shoes-men,https://meesho.com/sports-shoes-men/pl/4dxfc?page=,Men
casual-shoes-men,https://meesho.com/casual-shoes-men/pl/fdk15?page=,Men
formal-shoes-men,https://meesho.com/formal-shoes-men/pl/g2mfq?page=,Men
sandals-men,https://meesho.com/sandals-men/pl/hbxix?page=,Men
men-kurtas,https://meesho.com/men-kurtas/pl/xdw3j?page=,Men
ethnic-jackets-men,https://meesho.com/ethnic-jackets-men/pl/aeghj?page=,Men
inner-sleepwear-men,https://meesho.com/inner-sleepwear-men/pl/2qdtt?page=,Men
bags-backpacks-men,https://meesho.com/bags-backpacks-men/pl/wn210?page=,Men
wallets-men,https://meesho.com/wallets-men/pl/m97ex?page=,Men
